"","SampleId","HLAA_major","HLAA_minor","HLAA_LOH","HLAB_major","HLAB_minor","HLAB_LOH","HLAC_major","HLAC_minor","HLAC_LOH","HLAA_C_t","HLAA_M_t","HLAA_LOH_t","HLAB_C_t","HLAB_M_t","HLAB_LOH_t","HLAC_C_t","HLAC_M_t","HLAC_LOH_t","kit"
"2","TCGA-09-2049-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,3,1,FALSE,"931070"
"3","TCGA-09-2050-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"4","TCGA-09-2051-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"931070"
"6","TCGA-09-2055-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"7","TCGA-09-2056-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1.4317012248844,0,TRUE,1,0,TRUE,"931070"
"10","TCGA-13-0757-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"12","TCGA-13-2060-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"14","TCGA-23-2077-01",5,3,FALSE,5,3,FALSE,5,3,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"15","TCGA-23-2078-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"16","TCGA-23-2079-01",5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,"931070"
"18","TCGA-23-2084-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"20","TCGA-24-2019-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070"
"22","TCGA-24-2030-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"23","TCGA-24-2033-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"24","TCGA-24-2035-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"25","TCGA-24-2036-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"27","TCGA-24-2254-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"29","TCGA-24-2261-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"32","TCGA-24-2271-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"33","TCGA-24-2280-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE,"931070"
"34","TCGA-24-2281-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,6,1,FALSE,6,1,FALSE,6,1,FALSE,"931070"
"35","TCGA-24-2288-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"37","TCGA-24-2290-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"38","TCGA-24-2293-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,"931070"
"39","TCGA-24-2295-01",2,2,FALSE,2,1,FALSE,2,1,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"41","TCGA-25-1319-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"44","TCGA-25-2392-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,5,2,FALSE,6,2,FALSE,6,2,FALSE,"931070"
"45","TCGA-25-2393-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"47","TCGA-25-2400-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"931070"
"48","TCGA-25-2401-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"49","TCGA-25-2404-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"51","TCGA-25-2409-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"53","TCGA-30-1853-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"54","TCGA-30-1862-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070"
"55","TCGA-30-1891-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"56","TCGA-31-1950-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"931070"
"57","TCGA-31-1953-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE,"931070"
"60","TCGA-57-1993-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"931070"
"61","TCGA-57-1994-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"62","TCGA-59-2350-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"64","TCGA-59-2352-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"66","TCGA-59-2355-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"67","TCGA-59-2363-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,1,0,TRUE,2,0,TRUE,"931070"
"68","TCGA-61-1728-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,4,0,TRUE,2,0,TRUE,2,0,TRUE,"931070"
"70","TCGA-61-1919-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,6,3,FALSE,6,3,FALSE,6,3,FALSE,"931070"
"71","TCGA-61-1995-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"72","TCGA-61-1998-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"931070"
"75","TCGA-61-2003-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,"931070"
"76","TCGA-61-2008-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"77","TCGA-61-2009-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,5,1,FALSE,5,1,FALSE,5,1,FALSE,"931070"
"78","TCGA-61-2012-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,"931070"
"86","TCGA-61-2097-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"87","TCGA-61-2101-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"931070"
"89","TCGA-61-2104-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"931070"
"91","TCGA-61-2110-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"931070"
"93","TCGA-61-1734-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,7,2,FALSE,7,2,FALSE,7,2,FALSE,"931070"
"94","TCGA-13-0924-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"97","TCGA-13-1507-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"98","TCGA-23-1114-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"S0293689"
"99","TCGA-13-1506-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"101","TCGA-20-1683-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"104","TCGA-61-1741-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"S0293689"
"105","TCGA-24-1435-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"107","TCGA-29-1693-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"108","TCGA-29-1764-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,6,2,FALSE,7,2,FALSE,5,2,FALSE,"S0293689"
"109","TCGA-61-1895-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,2,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"111","TCGA-24-1845-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,5,1,FALSE,12.3171418975931,1,FALSE,"S0293689"
"114","TCGA-29-1770-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"115","TCGA-13-0724-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,5,1,FALSE,4,1,FALSE,"S0293689"
"116","TCGA-24-1850-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689"
"118","TCGA-30-1714-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"S0293689"
"119","TCGA-09-0366-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,7,3,FALSE,4,1,FALSE,6,1,FALSE,"S0293689"
"120","TCGA-04-1655-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"121","TCGA-61-1910-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"122","TCGA-13-0723-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"123","TCGA-09-1674-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"124","TCGA-29-1763-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"S0293689"
"125","TCGA-29-1778-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,0,TRUE,5,2,FALSE,5,2,FALSE,"S0293689"
"127","TCGA-29-1769-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,6,1,FALSE,3,0,TRUE,3,0,TRUE,"S0293689"
"128","TCGA-61-1907-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,5,2,FALSE,4,2,FALSE,3,1,FALSE,"S0293689"
"131","TCGA-30-1856-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"133","TCGA-23-1111-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"S0293689"
"134","TCGA-13-0910-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689"
"135","TCGA-13-1405-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689"
"136","TCGA-24-1424-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,6,3,FALSE,6,2,FALSE,6,3,FALSE,"S0293689"
"137","TCGA-61-1900-01",2,2,FALSE,2,1,FALSE,2,1,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"140","TCGA-29-1697-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689"
"141","TCGA-24-1549-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,2,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"143","TCGA-13-0897-01",1,0,TRUE,2,1,FALSE,2,1,FALSE,1,0,TRUE,3,1,FALSE,3,1,FALSE,"S0293689"
"145","TCGA-20-1685-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,1,FALSE,3,1,FALSE,5,3,FALSE,"S0293689"
"147","TCGA-30-1718-01",3,3,FALSE,3,3,FALSE,3,3,FALSE,7.08463793789765,0,TRUE,5,1,FALSE,5,1,FALSE,"S0293689"
"148","TCGA-29-1695-01",5,1,FALSE,5,1,FALSE,5,1,FALSE,6,1,FALSE,7,1,FALSE,4,0,TRUE,"S0293689"
"149","TCGA-24-1417-01",4,2,FALSE,4,2,FALSE,4,2,FALSE,6,2,FALSE,6,2,FALSE,6,2,FALSE,"S0293689"
"151","TCGA-20-1687-01",3,1,FALSE,2,1,FALSE,2,1,FALSE,4,2,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"153","TCGA-61-1722-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,7,2,FALSE,7,2,FALSE,"S0293689"
"154","TCGA-13-0893-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,5.81797749244502,1,FALSE,5,1,FALSE,5,1,FALSE,"S0293689"
"155","TCGA-24-1464-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,8.6246508780796,3,FALSE,7,3,FALSE,7,3,FALSE,"S0293689"
"156","TCGA-61-1738-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"158","TCGA-61-1914-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,6,1,FALSE,6,1,FALSE,6,1,FALSE,"S0293689"
"159","TCGA-24-1844-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"163","TCGA-61-1727-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,3,0,TRUE,"S0293689"
"165","TCGA-30-1855-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"S0293689"
"167","TCGA-29-1702-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,3,FALSE,6,2,FALSE,6,2,FALSE,"S0293689"
"168","TCGA-04-1542-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"169","TCGA-24-1425-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,3,0,TRUE,2,0,TRUE,"S0293689"
"170","TCGA-20-1684-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"171","TCGA-09-1673-01",2,2,FALSE,4,2,FALSE,4,2,FALSE,4,1,FALSE,6,2,FALSE,6,2,FALSE,"S0293689"
"172","TCGA-61-1899-01",4,4,FALSE,4,4,FALSE,4,4,FALSE,4,2,FALSE,6,3,FALSE,4,3,FALSE,"S0293689"
"173","TCGA-24-1427-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"176","TCGA-61-1737-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,4,1,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"177","TCGA-25-1323-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,0,TRUE,4,0,TRUE,4,0,TRUE,"S0293689"
"182","TCGA-24-1416-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689"
"183","TCGA-24-0982-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,3,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"184","TCGA-13-0903-01",2,2,FALSE,2,1,FALSE,2,1,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"188","TCGA-13-0885-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,6,2,FALSE,5,2,FALSE,5,2,FALSE,"S0293689"
"189","TCGA-23-1809-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,4,0,TRUE,"S0293689"
"190","TCGA-25-1322-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689"
"193","TCGA-24-1847-01",3,0,TRUE,3,0,TRUE,3,0,TRUE,5,0,TRUE,3,0,TRUE,3,0,TRUE,"S0293689"
"194","TCGA-13-1481-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,7,2,FALSE,3,1,FALSE,7,1,FALSE,"S0293689"
"195","TCGA-61-1904-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,5,0,TRUE,4,0,TRUE,4,0,TRUE,"S0293689"
"196","TCGA-29-1701-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,3,1,FALSE,3,1,FALSE,2,1,FALSE,"S0293689"
"198","TCGA-13-1488-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,1,FALSE,5,2,FALSE,3,1,FALSE,"S0293689"
"199","TCGA-24-1843-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,6,3,FALSE,6,1,FALSE,3,0,TRUE,"S0293689"
"200","TCGA-10-0930-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689"
"201","TCGA-24-1469-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,6,0,TRUE,5,1,FALSE,5,1,FALSE,"S0293689"
"202","TCGA-29-1707-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,4,1,FALSE,6,2,FALSE,6,2,FALSE,"S0293689"
"204","TCGA-29-1781-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689"
"206","TCGA-61-1730-01",3,2,FALSE,3,2,FALSE,3,2,FALSE,5,2,FALSE,5,2,FALSE,5,2,FALSE,"S0293689"
"207","TCGA-61-1906-01",2,2,FALSE,2,2,FALSE,2,2,FALSE,4,2,FALSE,4,2,FALSE,4,2,FALSE,"S0293689"
"208","TCGA-57-1586-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"209","TCGA-29-1766-01",4,0,TRUE,4,0,TRUE,4,0,TRUE,3,0,TRUE,2,0,TRUE,6.49108398771016,2,FALSE,"S0293689"
"210","TCGA-29-1699-01",6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,6,0,TRUE,"S0293689"
"211","TCGA-61-1740-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,5,0,TRUE,5,0,TRUE,5,0,TRUE,"S0293689"
"212","TCGA-20-1686-01",3,1,FALSE,3,1,FALSE,3,1,FALSE,4,1,FALSE,4,1,FALSE,4,1,FALSE,"S0293689"
"216","TCGA-61-1911-01",2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,2,0,TRUE,"S0293689"
"217","TCGA-29-1783-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"219","TCGA-29-1775-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,2,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
"221","TCGA-29-1694-01",1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,1,0,TRUE,"S0293689"
"222","TCGA-24-1616-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,2,1,FALSE,5,1,FALSE,"S0293689"
"229","TCGA-29-1761-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,0,TRUE,3,1,FALSE,3,1,FALSE,"S0293689"
"230","TCGA-24-1104-01",2,0,TRUE,1,0,TRUE,1,0,TRUE,2,0,TRUE,1,0,TRUE,4,0,TRUE,"S0293689"
"232","TCGA-29-1784-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,2,FALSE,4.40439426917743,1,FALSE,5,1,FALSE,"S0293689"
"233","TCGA-13-0807-01",2,1,FALSE,2,1,FALSE,2,1,FALSE,3,1,FALSE,3,1,FALSE,3,1,FALSE,"S0293689"
